Description;Native;Bytes;R-encoding;Synonyms;DefWords;DescDef
aerial tramway;🚡;\xF0\x9F\x9A\xA1;<ed><a0><bd><ed><ba><a1>;aerial flying airy tramway trim away dragway;existing living growing operating air characterized lightness insubstantiality impalpable intangible air moving swiftly hurried brief open abounding fresh air practical realizable speculative little perceptible weight light resemble air characterized lightness insubstantiality impalpable intangible air conveyance transports passengers freight carriers suspended cables supported series towers track trams streetcars run thin fit places characterized order neatness free disorder neat smart appearance severely simple line design present left used opponents ground of baseball pitch wide;existing living growing operating air characterized lightness insubstantiality impalpable intangible air pass receiver downfield passer electrical device sends receives radio television signals conveyance transports passengers freight carriers suspended cables supported series towers track trams streetcars run
airplane;✈;\xE2\x9C\x88;<e2><9c><88>;airplane jet aircraft;aircraft fixed wing powered propellers jets blackest black similar color jet coal vehicle fly;aircraft fixed wing powered propellers jets
alarm clock;⏰;\xE2\x8F\xB0;<e2><8f><b0>;alarm nervousness dismay clock alarm timepiece;fill apprehension alarm cause unpleasantly surprised warn arouse sense danger call state preparedness anxious feeling jitters uneasy psychological state sensitive highly strung temperament lower someones spirits make downhearted fill apprehension alarm cause unpleasantly surprised measure time duration event action person performs action certain period time fill apprehension alarm cause unpleasantly surprised warn arouse sense danger call state preparedness measuring instrument device keeping time;fill apprehension alarm cause unpleasantly surprised warn arouse sense danger call state preparedness fear resulting awareness danger device signals occurrence undesirable event automatic signal usually sound clock wakes sleeper preset time measure time duration event action person performs action certain period time timepiece shows time day
alien monster;👾;\xF0\x9F\x91\xBE;<ed><a0><bd><ed><b1><be>;alien exotic unusual monster giant devil;contained deriving essential nature something characteristic another place part world characteristic another place part world strikingly strange unusual usual common ordinary definitely ordinary unexpected slightly odd even bit weird commonly encountered imaginary creature usually various human animal parts someone something abnormally large powerful person animal markedly unusual deformed cruel wicked inhuman person medicine great mass huge bulky cause annoyance in disturb especially minor irritations coat stuff spicy paste;contained deriving essential nature something characteristic another place part world transfer property ownership person comes foreign country someone owe allegiance country anyone belong environment found form life assumed exist outside earth atmosphere imaginary creature usually various human animal parts someone something abnormally large powerful person animal markedly unusual deformed cruel wicked inhuman person medicine
ambulance;🚑;\xF0\x9F\x9A\x91;<ed><a0><bd><ed><ba><91>;ambulance transport rescue;vehicle takes people hospitals move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another free harm evil take forcibly legal custody;vehicle takes people hospitals
american football;🏈;\xF0\x9F\x8F\x88;<ed><a0><bc><ed><bf><88>;american americas african football soccer rugby;relating united states america people language culture relating characteristic continents islands americas north american republic containing 50 states  48 conterminous states north america plus alaska northwest north america hawaiian islands pacific ocean achieved independence 1776 north america south america central america relating nations africa peoples various games played ball round oval inflated oblong ball used playing american football football game two teams 11 players try kick head ball opponents goal form football played oval ball;relating united states america people language culture relating characteristic continents islands americas native inhabitant united states english language used united states native inhabitant north american central american south american country various games played ball round oval inflated oblong ball used playing american football
anchor;⚓;\xE2\x9A\x93;<e2><9a><93>;anchor mainstay grip;fix firmly stably secure vessel anchor prominent supporter central cohesive source support stability forestay braces mainmast hold fast firmly grip seize wrestling match render motionless fixed stare arousing terror awe;fix firmly stably secure vessel anchor mechanical device prevents vessel moving central cohesive source support stability television reporter coordinates broadcast several correspondents contribute
anger symbol;💢;\xF0\x9F\x92\xA2;<ed><a0><bd><ed><b2><a2>;anger annoyance acrimony symbol design emblem;make angry become angry psychological state irritated annoyed anger produced annoying irritation unpleasant person annoying exasperating something someone causes trouble source unhappiness act troubling annoying someone rough bitter manner arbitrary sign written printed something visible association convention represents something else invisible make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose special design visual object representing quality type group etc visible symbol representing abstract idea;make angry become angry strong emotion feeling oriented toward real supposed grievance state angry belligerence aroused real supposed wrong personified one deadly sins arbitrary sign written printed something visible association convention represents something else invisible
angry face;😠;\xF0\x9F\x98\xA0;<ed><a0><bd><ed><b8><a0>;angry enraged resentful face look light;feeling showing anger of elements severely inflamed painful marked extreme anger full marked resentment indignant ill deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface perceive attention direct ones gaze towards give certain impression certain outward aspect certain outward facial expression search seek oriented certain direction often respect another reference point opposite take charge deal convey ones expression look forward probable occurrence accord appearance faith confidence comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light;feeling showing anger of elements severely inflamed painful deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface front human head forehead chin ear ear feelings expressed persons face general outward appearance something striking working surface implement part person used refer person surface forming part outside object part animal corresponding human face side upon use thing depends usually prominent surface object contorted facial expression specific size style type within type family status eyes others impudent aggressiveness vertical surface building cliff
anguished face;😧;\xF0\x9F\x98\xA7;<ed><a0><bd><ed><b8><a7>;anguished heartbroken distressed face look light;experiencing intense pain especially mental pain full sorrow facing experiencing financial trouble difficulty generalized feeling distress suffering severe physical strain distress afflicted marked anxious uneasiness trouble grief deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface perceive attention direct ones gaze towards give certain impression certain outward aspect certain outward facial expression search seek oriented certain direction often respect another reference point opposite take charge deal convey ones expression look forward probable occurrence accord appearance faith confidence comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light;experiencing intense pain especially mental pain suffer great pains distress cause emotional anguish make miserable deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface front human head forehead chin ear ear feelings expressed persons face general outward appearance something striking working surface implement part person used refer person surface forming part outside object part animal corresponding human face side upon use thing depends usually prominent surface object contorted facial expression specific size style type within type family status eyes others impudent aggressiveness vertical surface building cliff
